Date,Module,Readings,Due Dates
2025-10-08,Knowledge & skepticism,"<strong>Inference to the best explanation</strong><br /><ul><li>Bertrand Russell, <a href='https://archive.org/details/problemsphiloholt00russuoft/mode/2up'><em>The Problems of Philosophy</em></a>, chap. 2</li></ul>",
2025-10-13,Knowledge & skepticism,"<strong>Minds & machines</strong><br /><ul><li>Daniel Dennett, “Can Machines Think?”</li></ul>",
2025-10-15,Determinism & free will,"<strong>Divine foreknowledge</strong><br /><ul><li>Augustine, <a href='https://clio.columbia.edu/catalog/ebs1120391e'><em>On Free Choice of the Will</em></a> III.1–4</li><li>Boethius, <em>Consolation of Philosophy</em> V [CourseWorks]</li></ul>",
2025-10-20,Determinism & free will,"<strong>The consequence argument</strong><br /><ul><li>Peter van Inwagen, “<a href='https://ezproxy.cul.columbia.edu/login?qurl=https://www.jstor.org/stable/4318929'>The Incompatibility of Free Will and Determinism</a>”</li><li>David Lewis, “<a href='https://ezproxy.cul.columbia.edu/login?qurl=https://www.jstor.org/stable/4318929'>Are We Free to Break the Laws?</a>”</li></ul>",
2025-10-22,Determinism & free will,"<strong>Time travel</strong><br /><ul><li>David Lewis, “<a href='https://ezproxy.cul.columbia.edu/login?qurl=https://www.jstor.org/stable/20009616'>The Paradoxes of Time Travel</a>”</li></ul>",
2025-10-27,Midterm exam,<strong>Midterm review</strong><br /><em>N.B. I have a scheduling conflict and need to move today’s office hours to this Wednesday (same time).</em>,
2025-10-29,Midterm exam,<strong>Midterm exam (our usual time & classroom)</strong></em>,<strong>Midterm course lexicon due in person in hard copy</strong>
2025-11-03,Midterm exam,Fall break (no class),
2025-11-05,Meaning in life,"<strong>The reasonable & the absurd</strong><br /><ul><li>Immanuel Kant, “An Answer to the Question: What Is Enlightenment?”</li><li>Albert Camus, selections from <em>The Myth of Sisyphus</em> and <em>The Stranger</em> [CourseWorks]</li><li><em>In-class screening</em>: <em>Asteroid City</em>, directed by Wes Anderson, 105 min</li></ul>",
2025-11-10,Meaning in life,"<strong>Existentialism</strong><br /><ul><li>Jean-Paul Sartre, selections from “Existentialism Is a Humanism” and “A Commentary on <em>The Stranger</em>” [CourseWorks]</li></ul>",
2025-11-12,Meaning in life,"<strong>Woman as a situation</strong><br /><ul><li>Simone de Beauvoir, selections from <em>The Second Sex</em></li></ul>",
2025-11-17,Meaning in life,"<strong>Authenticity</strong><br /><ul><li>Rowan Bell, “<a href='https://ezproxy.cul.columbia.edu/login?qurl=https://doi.org/10.1017/hyp.2023.96 '>Being Your Best Self: Authenticity, Morality, and Gender Norms</a>”</li></ul><em>Prof. Bell visits on Zoom!</em>",
2025-11-19,Politics & society,"<strong>Social contract</strong><br /><ul><li>John Locke, selections from the <em>Second Treatise</em></li></ul>","If you are interested in pursuing a creative final project, please meet with Ding (sec. 002) or Nick (sec. 003) by this day"
2025-11-24,Politics & society,"<strong>Alienation & emancipation</strong><br /><ul><li>Karl Marx, selections from the <em>Economic and Philosophic Manuscripts of 1844</em>, “On the Jewish Question,” “Critique of the Gotha Programme,” and “Theses on Feuerbach”</li></ul>",
2025-11-26,Politics & society,College recess (no class),
2025-12-01,Politics & society,"<strong>Ideology</strong><br /><ul><li>Nora Berenstain, “<a href='https://www-degruyterbrill-com.ezproxy.cul.columbia.edu/document/doi/10.1515/9798855801323-003/html'>Structural Gaslighting</a>”</li></ul>",
2025-12-03,Politics & society,"<strong>Bodies & the affective</strong><br /><ul><li>Audre Lorde, selections from <em>Sister Outsider</em></li><li>Caleb Ward, selections from <em>The Unflinching Philosophy of Audre Lorde</em> (manuscript)</li></ul><em>Dr. Ward visits on Zoom!</em>",
2025-12-08,Final Exam,<strong>Final exam review</strong>,
2025-12-10,Final Exam,Reading day (no class),
2025-12-17,Final Exam,"<strong>Final exam (tentative date & time, location TBD)<br /><ul><li>Sec. 002: 10:00am–noon</li><li>Sec. 003: 4:10–6:10pm</li><ul></strong>",<strong>Final course lexicon due in person in hard copy; final project due to CourseWorks by midnight</strong>
